"职位名称","薪资区间","经验要求","学历要求","岗位职责任职要求","工作地址","公司名称","公司规模"
"医疗健康行业研究总监","20k-30k","经验1-3年 /","硕士及以上 /","工作职责一、行业研究  研究医疗健康业务各分支领域科技进展和行业发展态势，结合公司发展战略和内外部调研，撰写研究报告供决策层咨询参考； 聚焦公司具体投资孵化项目，进行相关的产业政策跟踪、市场分析和技术研究等相关工作，形成项目调查报告； 跟踪研究国内外先进的医疗大数据产品与模式，结合公司技术能力，形成医学大数据与人工智能产品的论证，驱动公司业务升级。二、投资孵化 根据项目需要，负责与有关专家及专业机构的沟通，参与或协助尽职调查、项目谈判、投后孵化等工作。 参与IT产品开发，负责对公司大数据与人工智能技术团队提供生物医学技术支持。任职资格 临床或基础医学硕士以上学历，计算机、生物学相关专业复合学历背景者优先； 具有2年及以上的医疗行业，有统计、数据分析或软件开发相关工作经验和一定的项目资源者优先； 熟悉生物医学行业，具备行业分析和研究能力； 具有独立开展工作的能力，具有较强的学习能力、判断能力。","上海 -                    静安区                                            - 万荣路1268号云立方A座9F                                                            查看地图","华院数据                                                                        拉勾认证企业","http://www.huaat.com                公司主页"
"数据挖掘工程师","20k-30k","经验1-3年 /","博士及以上 /","大数据挖掘/人工智能/神经网络算法科学家主要负责横跨即科内部所有业务线的模型算法的风险管理工作，需要和有机会全面了解互联网金融行业数据和业务模型及其使用的场景，包括但不限于深度规则，黑盒计划，反欺诈，场景探针等。  工作职责： 1. 负责领导和建设即科AI实验室，构建AI实验室技术基础架构。并且驱动AI项目包括：深度规则，黑盒计划，反欺诈，场景探针等；2. 规划即科金融的机器学习、神经网络、深度学习、图算法等的发展路线图，通过对上述问题的探索与研究，结合即科未来实际应用场景，提供全面的技术解决方案，并引领算法团队及时完善即科金融的人工智能相关的产品，使之保持业界内的领先性；同时向业务团队提出合理化建议和意见，以提高算法的质量，降低算法建立和使用中的各项风险； 3. 与相关部门（风控部、运维安全部等）紧密合作，不断更新即科金融人工智能方面的技术和产品，同时负责推进产品在实际业务场景中的应用和风险监控；4. 及时跟进并熟悉业界最先进的大数据挖掘/人工智能/机器学习方面的技术进展，带领团队进行人工智能领域前沿算法研发，探索人工智能的创新应用；   任职资格：1. 博士及以上学历，数学，生物信息，计算机，神经网络，机器学习等相关专业；2. 扎实的编程基础（熟练使用Java或者Python等）；3. 有大数据处理经验（熟悉Hadoop或者Spark等分布式处理平台）；有动手建模和开发算法的实战经验。4. 熟悉人工智能学习的基本工作原理及其架构，包括常用的搜索理论，推理策略，人工智能架构及其编程语言等；熟悉人工神经网络的学习机理，人工神经网络模型等；熟悉常用的智能学习算法、框架和应用；熟悉一个或多个常见的神经网络开源工具库；5. 极强的开源资源整合能力，能够针对产品需求，快速开发原型产品；6. 具备研究或研发项目经历，有较丰富的大中型开发项目的总体规划、方案设计经验优先；7. 有互联网金融风险控制经验背景者优先；","上海 -                    杨浦区                                            - 淞沪路619号中航天盛大厦1701室                                                            查看地图","GeexFinance                                                                        拉勾认证企业","150-500人                规模"
"Android高级研发工程师","18k-22k","经验3-5年 /","本科及以上 /","兽耳科技做什么的?#二次元#梦梦奈#智能桌面助理#我们2016年诞生于魔都上海，是一家专注于二次元人群的创业公司，正在研发国内第一款搭载萌系live2D的虚拟手机助手软件，甫一发行就在ACG爱好者中广受好评，各大应用商店搜索「兽耳科技」或者「兽耳桌面」均可下载。对于工程师来说，我们可以提供一个纯粹简单的技术氛围和产品环境。目前团队虽不大，但有完整的技术协作流程和短平快的沟通方式。我们崇尚工程师文化，谦虚、尊重和相互信任。工作职责1.负责 Android 产品的开发及维护2.负责产品架构的改进及性能优化3.参与产品需求分析并制定技术实施方案岗位要求1.有3年或以上 Android 开发经验，能独立带领小团队进行 Android 应用或者模块的开发2.良好的数据结构与算法基础，扎实的 Java 编程语言基础，熟悉面向对象，函数式，响应式等编程范式，具备良好编码习惯3.熟练掌握 MVC、MVP、MWM、CLEAN 等软件设计架构，充分理解关注点分离( SOC )，高内聚，低耦合，模块与可组织性，可测试性等架构思想。熟悉常见的软件设计原则和模式4.熟悉 Android 界面、动效开发，掌握通过响应式的设计开发来进行 Android 的不同机型和屏幕的适配，不拒绝追求 lpx 的完美5.熟悉 Android 界面的渲染机制、多线程机制、网络通信机制，了解各类常用类库的使用，追求开发一个稳定高性能的 App6.了解敏捷开发的流程和实践，熟悉测试驱动开发( TDD )7.有独立钻研移动领域新技术的热情和能力8.有良好的沟通协作能力加分1.有属于自己的上架应用2.有 Github 主页、博客、开源项目3.用 Kotlin 语言开发过 Android 项目PS.以上均是参考要求，非硬性，若条件突出者可酌情考虑。公司情况·弹性工时，不管你是早睡早起还是夜猫子，都能在这里精力充沛工作；·平均破壳在93年，自由有趣的氛围，拒绝办公室政治；·每月零食饮料管够，不定期吃喝腐败，桌游电影更是家常便饭；·快速成长期，有充分的成长空间和锻炼机会。团队虽小，各显神通，有技术大拿，有软萌妹子，想和他们一起工作么?兽耳科技是阁下不错的选择!","上海 -                    浦东新区                                            - 民生路地铁站1号口                                                            查看地图","兽耳科技                                                                        拉勾认证企业","http://www.mimikko.cn                公司主页"
"商务拓展经理","15k-25k","经验5-10年 /","本科及以上 /","办公地：上海—徐汇区岗位职责：1. 根据商务业务目标, 制定年度商务拓展计划，并进行团队任务细分及执行；2. 负责政府关系以及大客户的开发和维护, 选择合适的开发渠道和方式；3. 负责预测年度部门预算，把控部门成本，按月/季度核算部门费用情况；4. 合理并高效地搭建团队，跟进日常的过程管理并监督，确保团队完成相应目标；5.定期对团队人员进行业务辅导及相关培训，不断提高其业务能力；6. 保持与其他部门之间的高效沟通和配合，推进各项工作推动并反馈结果；7. 完成上级领导交办的其它工作；任职资格：1. 本科及以上学历，市场营销、工商管理专业优先；2. 5年以上互联网O2O、生活服务行业背景商务谈判、拓展工作经验，2年以上管理团队的经验；3. 具有较好的团队搭建、管理的方法以及业务思维，业务导向和结果导向明确；4. 具备较强的谈判技巧和客户把控能力，较强的沟通技巧和人际关系能力，抗压能力强；5. 良好的职业道德和职业操守，较强的责任心和奉献精神；6. 熟练使用Word、Excel、PPT等办公软件。","上海 -                    徐汇区 -                    田林                                            - 吴中路51号建工汇豪商务广场605－606室                                                            查看地图","迷你考拉                                                                        拉勾未认证企业","150-500人                规模"
"网络主播","11K-14K","经验不限 /","学历不限 /","星之路是华东地区最大、最专业的网络主播培养基地。我们有效整合了华东地区数十万网络主播，T台模特、淘宝网拍模特、车展模特，成功打造出华东第一网络艺人经纪平台。同时，我们又斥巨资打造了华东地区最专业的网络主播培训基地，也是华东地区最大的网拍基地。我们以标准化、专业化、个性化服务于网络主播、艺人经纪。 公司总部位于上海，分公司在苏州、杭州、南京、蚌埠、武汉、长沙、南昌、合肥、温州。公司从长远考虑，计划未来三年要涵盖华北，东北，华东，西南的全国重点城市，打造出更多的网红艺人！公司着力打造潜力股，培养更多的人才，改变更多人的命运，励志成为国家稀缺性人才的摇篮！ 我们秉承“专业、诚信、务实、创新、共赢”的经营理念，追求专业化的品质、规范化的流程、人性化的管理，与员工携手打造一艘全新的文化传媒航母。","上海 -                    普陀区 -                    中山北路                                            - 宁夏路679号欧爱喜中心2楼206                                                            查看地图","星之路                                                                        拉勾未认证企业","www.xzlchina.com                公司主页"
"漫展现场协助签到登记派发...","6k-8k","经验1年以下 /","学历不限 /","本公司主要承办动漫游戏活动和会展活动，现招长期cosplay扮演，现场协助以及现‌‌‌‌场礼仪接待人员。协助工作内容主要是维护现场秩序，和活动开场结束的准备事宜工作。服务人员负责现场的礼仪接待和派发方面的。工作要求，年龄17到30岁之间，不低于155。口齿清晰，普通话标准，形象好，五官端正，身材匀称。工作热情认真，服从现场安排，反映灵活。以下较详细的工作介绍：1.cosplay扮演：要求：需穿各种动漫卡通角色服装，现场互动，拍照，要求有责任心。工作时间：周末/节假日/业余时间均可兼职（可长期兼职）2.派发人员：要求：主要负责现场小礼品派发以及活动宣传，普通话标准，善于沟通，工作认真负责，。工作时间：周末/节假日/业余时间均可兼职（可长期兼职）3.迎宾礼仪，接待礼仪，签到礼仪：要求，形象好，活泼主动型，沟通能力强，有责任心。工作时间：周末/节假日/业余时间均可兼职（可长期兼职）4.协助人员：要求：疏散游客，维持会场秩序，引导游客，，有责任心。工作时间：周末/节假日/业余时间均可兼职（可长期兼职）5.T台模特：要求：形象好，活泼主动型，沟通能力强，有走秀工作经验者优先。工作时间：周末/节假日/业余时间均可兼职（可长期兼职）6:翻译礼仪：岗位要求：具有一定的英语/日语交流能力，可以简单的交流，主要负责外宾的接待，交流，沟通工作时间：白天4-6小时（一般上午10点左右开始）------1、有责任心 ,能够吃苦‌‌耐劳‌‌, 勤快 ,守时，性格开朗 ,工作态度热情2、要求：年龄18-35岁工作时间：早上10点到下午5点之间 具体时间可按自己的时间而定。======================================================工作地址上海各大区尽量就近安排工作有兴趣直接投简历","上海 -                    嘉定区                                            - 各区域就近安排                                                            查看地图","北京市神通恒安无损检测技术有限公司                                                                        拉勾未认证企业","https://www.lagou.com/gon...                公司主页"
"SEM/网络推广","8k-15k","经验1-3年 /","本科及以上 /","【岗位职责】1、负责日常金融系微博账号后台推广及运营维护；2、微博粉丝导流【粉丝转微信、公众号、企业号】优化转化成本和资源质量；3、统计加粉成本和粉丝互动数据汇报；4、关注媒体资讯，开拓新资源入口。【岗位要求】1、具备金融营销功底，有互联网信息流、新媒体推广操作（效果平台cpc/cpm）经验；2、善于研究目标用户需求并独立撰写营销推广文案素材；3、具备创新精神，乐于接受新事物，善于开拓新资源入口。【福利】1、公司在节假日（元旦、春节、劳动节、端午节、中秋国庆节）为员工发放节日福利。2、每个季度有优秀员工评选，享受荣誉、公费培训、晋升机会！3、试用期就开始缴纳五险一金，另外公司还为员工购买了额外商业意外保险！4、员工结婚生育赠送实物慰问。5、每月生日party、生日礼物、下午茶零食、户外拓展、团建聚餐、唱K、党员之家、员工书友会、篮球协会、演艺协会、公益俱乐部，满足每个员工不同的兴趣爱好！6、带薪年假5天，享有国家法定节假日！  公司网址：www.jindashi.net 地址：上海浦东新区杨高南路729号陆家嘴世纪金融广场1号楼12层（近4/6号线蓝村路地铁站） ","上海 -                    浦东新区 -                    世纪公园                                            - 杨高南路729号陆家嘴世纪金融广场1号楼12楼                                                            查看地图","金大师                                                                        拉勾认证企业","http://www.jindashi.net/                公司主页"
"会展签到+接待+礼仪兼职日...","4k-6k","经验应届毕业生 /","学历不限 /","现招募工作人员。招聘对象：在校学生，上班族，节假日空闲者。1. 展会签到人员：，五官端正,字体整洁，热情有礼貌。（工作内容）：负责来宾接待登记签到。2.展会现场派发人员：，微胖能接受,服务意识强（工作内容）：在活动现场进行小礼品的派发。3.展会迎宾礼仪.笑容甜美,微笑迎宾.（工作内容）：（负责指引贵宾入场,就做参观）4. 跟团出演巡演模特：身材苗条，长相甜美，会走秀者优先。（工作内容）：配合团队参与演出。5.卡通玩偶扮演人员：身体健康，热情礼貌。（工作内容）：负责穿着卡通玩偶服装与游客观众拍照调节气氛，6.现场协助人员：工作认真,协调能力良好.能吃苦耐劳，服从安排（工作内容）：负责维持现场秩序工作地点：上海市就近分配","上海 -                    松江区 -                    松江新城                                            - 上海各区域均可就近分配                                                            查看地图","无锡田信新材料科技有限公司                                                                        拉勾未认证企业","https://www.lagou.com/gon...                公司主页"
"C|C++","15k-30k","经验1-3年 /","本科及以上 /","职责： 负责研发ClassIn的交互容器引擎。  任职要求： 1. 至少1年以上开发经验。 2. 熟悉C/C++, windows/QT/MFC编程开发。 3. 数据结构，算法等基础知识扎实，关注细节。 4. 了解点播或者直播等音视频及网络技术优先。 5. 了解PPT等office文档格式优先。 6. 熟悉FFMPEG等视频处理和库调用,有性能优化经验者优先。  工作地址：上海 - 杨浦区 - 创智天地企业中心6号楼","上海 -                    杨浦区 -                    复旦大学                                            - 创智天地企业中心6号楼                                                            查看地图","学霸君                                                                        拉勾认证企业","2000人以上                规模"
"客户经理","15k-20k","经验5-10年 /","本科及以上 /","你的主要职责是什么？协调各方资源，全面管理项目的计划、策划、实施，保证项目的进度和质量控制合理制定项目阶段性目标和总体控制计划；明确划分工作内容，确保阶段性目标的实现，并可根据各种变化及时调整项目计划管理项目策划、计划与执行，掌控项目进程，有效监控与协调项目执行针对目标客户的网络传播现状提供基于线上营销及推广方法协助项目组为客户提供高价值的传播计划我们期待什么样的伙伴？我们希望你能具备以下的技能和经验3-5年Digital CRM咨询或4A广告公司客户服务经验，汽车行业经验者优先有较强的品牌战略理念，具备良好的网络营销传播方案策划及撰写、组织能力对Digital CRM、互动营销、数据库营销以及IT系统有一定的个人见识能够带领3-4人团队进行独立工作良好的协调能力，工作方法论，能够承受一定的工作压力具有较好的亲和力，能够维系良好的客户关系，与相关项目管理团队保持紧密的联系善于获取、汇总、更新相关工作信息及资料，保证第一时间掌握客户动态和项目进展情况中英文语言能力上佳，优秀的书面和口头表达能力，商业敏锐感的人士优先大学本科或以上学历，理工科、商科或市场营销，计算机科学相关专业熟练操作Microsoft Office软件  We require several Account Manager to work on some of the world's biggest brands across a varied portfolio of blue-chip clients. Think about it... the winning candidate will develop leading edge integrated communications across interactive, database marketing, CRM, and offline marketing.比基本技能和专业能力更重要的是，我们期望你：具有极高的自我要求，极强的自我驱动，追求卓越、喜欢创新积极主动、有很强的责任感具有成长性思维，相信能力不是天生的，而是练出来的，勇于走出舒适区、乐于自我挑战心态开放，坦率真诚，谦虚自信，具有客观的自我认知，不在意looking good， 在意追求精通和真理客户价值为导向，能够换位思考良好的学习方法论，乐于学习新知识、新技术良好的逻辑思维、系统思维和抽象思维的能力良好的沟通能力，良好的工作习惯彪洋科技是一家什么样的公司？彪洋科技成立于2007年，公司设于北京和上海，目前150名员工，是营销自动化领域重要的创新者和实践者。我们致力于应用移动互联网、云计算和大数据等新技术，帮助大型品牌改造市场营销、销售和客户服务流程，达到改善消费者体验和提升运营效率的目标。我们致力于成为人性高效的企业，并帮助每一家企业变得人性而高效。透过我们的L2L(Leads to Loyalty)全流程自动化移动互联网解决方案，我们为众多的国际品牌和他们的经销商网络管理端到端的CRM流程，提供快速迭代的软件产品、深入的运营管理和全面的数据分析，帮助他们在销售线索管理、潜在客户培育、销售转化，和售后服务上持续创新，快速数字化、互联网化，取得优异的业绩增长，打造新零售时代的战略竞争优势。你将面对什么样的挑战和机会？我们不仅是在寻找能够胜任工作的职员，更是在寻找能与我们一起迭代试错、成长进化，一起分享生活和事业，一起致力于用新技术、新思维打造高效人性组织，帮助所有企业变得人性高效的事业伙伴。如果你对提升企业内外部协作的效率有热情，对新零售、营销自动化有兴趣；如果你想学习用互联网科技来创新大型企业的业务流程和业务模式，用大数据来做决策，用敏捷开发来快速稳定地持续创新；如果你愿意用新思维，新技术帮助大型品牌做营销、销售和服务的自动化；如果你具有成长性思维，希望接受挑战，追求卓越；如果你向往真实、透明和开放的环境，请联系我们。我们将会为你提供良好的发展平台和有竞争力的薪酬。尤其是你将会有机会和一群志同道合、不断学习进化和追求卓越的伙伴，一起应用最新的技术、方法、实践和工具，设计系统平台架构，迭代开发自动化营销平台和产品，帮助各种企业迭代创新、转型升级。","上海 -                    长宁区                                            - 延安西路1088号长峰中心1307-1308室                                                            查看地图","彪洋科技                                                                        拉勾认证企业","150-500人                规模"
"调度员","4k-5k","经验1-3年 /","大专及以上 /","职位描述岗位职责：1、负责制作《排单线路表》，保障安排***送货线路；2、根据ERP系统及时按照送货时间对货品进行分货，确保分货准确性；3、确保到货单系统入库的准确性，并及时更新库存报表；4、库存分货、客户退货明细及时在系统或库存表格中更新；5、负责所有安装人员的业绩统计、司机运费的核算及各门店的运费统计；6、完成上级交给的其它事务性工作。任职资格：1、全日制大专以上学历，物流及相关专业；2、两年以上物流相关工作经验；3、具备良好的沟通能力，主动积极，认真负责，责任感强；4、熟练运用办公软件；5、熟悉上海路线者佳。","上海 -                    浦东新区 -                    南码头                                            - 东方路3601号丰华园7号楼302室                                                            查看地图","沙克家具                                                                        拉勾未认证企业","http://www.lagou.com/gong...                公司主页"
"产品经理（偏市场）","18k-25k","经验1-3年 /","大专及以上 /","职位诱惑：做五休二,五险一金,节假日福利职位描述：岗位职责：1、负责移动端和PC网站的用户需求分析及产品方案设计；2、设计产品的交互界面及流程原型，撰写产品需求文档；3、推进产品开发项目，协调工程师、UI、运营等资源，保证产品按计划开发及发布，项目跟进，部门内沟通协调；4、设计产品的运营、推广策略，活动方案策划，增加产品的用户量和品牌渗透率；5、跟踪产品的运营数据，并根据数据改进产品；6、跟踪、整理产品的用户反馈，和用户交流，根据用户反馈改进产品。岗位要求：1、3年以上互联网产品设计工作经验，熟悉产品设计和开发基本流程，有移动端上线APP产品工作经验优先；2、对新事物、新产品有敏感，喜欢琢磨、钻研新的软件、产品及服务；3、有较强的产品文档撰写能力，熟练使用Visio、Axure、Mindmanager等软件；4、富有团队合作精神，善于与人沟通；能及时响应和处理产品或用户反馈的问题；5、独立创新能力强，优秀的逻辑思维，注重细节，执行力强。   工作地址上海 - 宝山区 - 顾村 - 蕴川路516号B座泰德科技园6楼","上海 -                    宝山区 -                    顾村                                            - 蕴川路516号B座泰德科技园6楼                                                            查看地图","福乐康                                                                        拉勾未认证企业","http://www.zgflk.co/                公司主页"
"高端别墅公寓销售代表","7k-10k","经验不限 /","本科及以上 /","【薪资待遇】无责任底薪6000元/月（211/985无责底薪7000）+高额提成（5%—68%）+精英留任奖+年终绩效奖+带薪年假 【岗位要求】1.21-35周岁，统招二本及以上学历；2.具有良好的亲和力、理解能力、逻辑协调和沟通能力；3.积极乐观开朗，为人诚实守信，工作积极主动，注重团队合作；4.愿意服务于高端客户，并且通过与高端客户面对面沟通有意愿提升自己的综合能力；5.愿意参加公益活动，具有爱心和感恩之心； 【岗位职责】1.新员工入职，熟知高端楼盘与产品信息；（北京、上海、美国、英国、澳大利亚、加拿大豪宅项目；金融产品）；2.详细了解客户的核心诉求，精准匹配合适的产品信息,提供豪宅市场报告、价值分析报告等；3.与客户面对面沟通，通过Ipad、豪宅APP、楼盘字典等营销工具介绍产品信息，带客户实体看房，通过磋商、谈判，完成成交。 【晋升体制】★营销专家：豪宅顾问→资深豪宅顾问→高级客户经理→资深客户经理★管理岗位晋升：店经理→店面总监→大区总监 【系统培训】1.师徒制：一对一的师徒辅导2.针对豪宅顾问——房产知识、营销知识、交易知识、法律法规、客户维护、目标管理、谈判技巧、金融知识、心理学……3.针对销售精英——百万尖子班4.针对管理岗位——黄埔培训班、虎将训练营  【企业的特点】高智商：接触的是净资产在3000万以上的各行各业的精英人士，身边的伙伴都是高学历的优秀人才；高效率：简单的人际关系，高效的客户服务，高效的团队合作高资本：做标的在2000万-3个亿之间的项目高收益：年薪在30-60万之间，优秀者可以年薪过百万高晋升：以能力为本，每半年一次的公开透明的晋升机会 【公司介绍】首先，丽兹行是国内唯一 一家可以实现全司内部联动、京沪联动、国内外联动的企业，客户只需找到一位豪宅顾问就可以看遍丽兹行在做所有豪宅；其次，我们致力于为城市领袖提供安全、高效、愉悦的顾客体验，豪宅交易经验丰富，高端客户认可度非常高；第三，拥有丰富的营销工具，实现科技化的营销，拥有landzso系统，丽兹豪宅网，手机APP、720度环景看房，丽兹豪宅汇，楼盘字典等工具，让客户看房更加直观和高效。第四，对接高净值客户，与高学历人才共事。 【其他福利】①五险一金：养老、失业、医疗、工伤、生育、商业保险；住房公积金；享受免费健康检查；②节日福利：法定节假日、10天春节假、带薪年假.....③带薪培训：一对一师徒辅导制；业务训（房产、金融、心理学、美学等）、管理者培训（中欧、北大光华等）、国内外交流沙龙...④多重奖励：新人奖、品质奖、价值范、支持个人及团队、职能嘉奖、个人破纪录奖、个人/父母年度海内外旅游（泰山、青岛、杭州、海南、云南、韩国、马尔代夫...等你来！）⑤逢节必过：圣诞节、儿童节、中秋节、感恩节...节日不停，happy不停；花式活动：爱心义卖、公益活动、舞蹈大赛、运动会、演讲大赛、文化沙龙、轰趴、生party...⑥还有：企业内部通话免费；不定期零食、甜汤、水果等；最简单坦诚开心的工作环境…… ","上海 -                    浦东新区 -                    陆家嘴                                            - 上海市浦东新区和黄浦区                                                            查看地图","丽兹行                                                                        拉勾认证企业","http://www.lizihang.com                公司主页"
"unity主程 ","20k-30k","经验5-10年 /","本科及以上 /","兽耳科技做什么的?#二次元#梦梦奈#智能桌面助理#我们 2016 年诞生于魔都上海，是一家专注于二次元人群的创业公司，正在研发国内第一款搭载萌系 live2D 的虚拟手机助手软件，甫一发行就在 ACG 爱好者中广受好评，各大应用商店搜索「兽耳科技」或者「兽耳桌面」均可下载。 工作职责1、使用 Unity3D 引擎进行 iOS 和 Android 平台手机游戏开发；2、与策划、美术保持良好沟通，确保程序功能与设计需求一致；3、研发所需的各类工具，编辑器等内容的再开发以及调整优化；4、针对各个发布平台进行游戏性能优化；职位要求：1、计算机及相关专业本科以上学历，精通 C#、C++ 语言及面向对象编程；2、良好的 3D 图形学基础，至少两年以上 Unity3D 的手游开发经验，熟悉 Unity3D 引擎架构设计；3、至少经历过两款完整的手机游戏上线项目；一个及以上的RPG战斗游戏经验；4、热爱游戏，热衷于技术钻研，工作踏实、负责，有良好的抗压能力。 公司情况·弹性工时，不管你是早睡早起还是夜猫子，都能在这里精力充沛工作；·平均破壳在 93 年，自由有趣的氛围，拒绝办公室政治；·每月零食饮料管够，不定期吃喝腐败，桌游电影更是家常便饭；·快速成长期，有充分的成长空间和锻炼机会。团队虽小，各显神通，有技术大拿，有软萌妹子，想和他们一起工作么?兽耳科技是阁下不错的选择! ","上海 -                    浦东新区                                            - 民生路地铁站1号口                                                            查看地图","兽耳科技                                                                        拉勾认证企业","http://www.mimikko.cn                公司主页"
"DB/ETL/BI","20k-33k","经验3-5年 /","本科及以上 /","以下职位是花旗正式员工职位，ICG投行项目JAVA,WEB,NET,DB,COB要求：1.工作年限2年硕士3年本科起-8年左右      2.学校211/985/海归      3.英语口语流利      4.技术好，沟通好，解决问题能力强工作地点：地点：上海市浦东新区晨晖路1000号1号楼路线：地铁二号线（金科路站下车,3号口出,步行7分钟左右）地点：陆家嘴世纪金融广场（上海市浦东新区锦康路258号5号楼）路线：地铁2号线上海科技馆/4号线蓝村路站旁","上海 -                    浦东新区 -                    张江                                            - 晨晖路1000号1号楼                                                            查看地图","CLPS                                                                        拉勾认证企业","http://www.clps.com.cn                公司主页"
"资深次世代3D角色","20k-30k","经验3-5年 /","大专及以上 /","【岗位职责】1. 负责游戏中次世代3D角色制作2. 能够不断自我提升，打磨作品达到高品质要求【任职资格】1. 两年以上次世代游戏角色制作经验2. 熟悉3D Max或Maya、ZBrush、Photoshop、Substance或Quixel Suite3. 有良好的美术基础和审美4. 有欧美题材游戏开发经验优先5. 有UE4制作经验优先6. 热爱游戏事业7. 工作地点：上海","上海 -                    徐汇区 -                    虹梅路                                            - 上海市徐汇区宜山路700号                                                            查看地图","电魂网络                                                                        拉勾认证企业","http://www.dianhun.cn/                公司主页"
"BD主管/经理","7k-14k","经验3-5年 /","大专及以上 /","岗位职责1、负责平台用户的招商、维护、信息的传递及需求的处理；公司AI（人工智能）技术及产品的推广；2、独立完成商务谈判，维护合伙人及用户的关系，定期完成合伙人及核心用户的运营报告，切实的帮助合伙人提升业绩销售；3、协助合伙人进行辖区内的用户招募及相关的技术、经营赋能，以提升用户黏性；4、负责公司平台日常旅游产品及货架运营及相关产品包装、推广及异常处理；5、定期上级交代的其他的任务； 任职要求：1、市场营销、企业管理等相关专业；2、有较强的沟通技巧及洽谈合作能力；3、3年以上旅游相关企业从业经验，有平台产品经理及产品运营经理经验者优先；4、有较强的承压能力及上进心；","上海 -                    普陀区 -                    长寿路                                            - 普陀区陕西北路1283弄9号1803室                                                            查看地图","竞界科技                                                                        拉勾未认证企业","https://www.lagou.com/gon...                公司主页"
"机器学习工程师","30K-50K","经验3-5年 /","本科及以上 /","工作职责： 1、负责图像识别、语义理解，语音识别（其中一项）算法研究；2、人工智能算法项目实施及优化；3、对业界新应用和技术进展进行跟踪研究。 任职资格： 1. 计算机，电子工程，自动化方向的本科及以上文凭，有机器学习或深度学习研究背景；2. 熟悉最新的深度学习和机器学习算法；图像识别，语义理解，语音识别（其中一项）领域相关理论和算法；3. 熟悉大规模数据分析技术，掌握机器学习的相关技术； 在统计或机器学习、文本分类或聚类、海量数据处理、分布式计算等方面有一定的理论功底和实践经验；4. 熟悉 Linux环境下的 Java和 Python编程，有很强的算法实现能力；5. 对于原型开发和产品开发中可能遇到的各种新的技术和框架，能迅速熟悉使用，有良好的沟通表达能力，良好的分析解决问题的能力。","上海 -                    浦东新区                                            - 来安路686号                                                            查看地图","招商银行信用卡中心                                                                        拉勾认证企业","http://cc.cmbchina.com/                公司主页"
"销售顾问/咨询师","10k-20k","经验不限 /","本科及以上 /","我们需要你： 与潜在客户通过电话、微信、面询等多种方式沟通，了解和挖掘客户职业发展需求； 通过自身所具备的投行、咨询、快消、互联网、房地产等热点行业知识及职业发展规划技能，帮助客户做好精准的职业定位； 针对客户在求职和职业发展中需求推荐合适课程； 充分了解学员潜在的求职困惑，耐心解答用户对产品的疑问通过与学员的沟通及简历； 维护与签约客户、潜在客户的长期良好关系。   我们期待你： 本科及以上学历，有金融、快消、咨询、会计、互联网行业工作经历或商科学习背景者优先； 超强的学习能力以及解决问题的能力，擅于沟通； 对职前教育领域持续关注并且愿意与公司一起奋斗的小伙伴优先； 打LOL/DOTA或者玩狼人杀/杀人游戏的小伙伴优先 (因为这样的你，我们知道一定是逻辑缜密、善于沟通表达的选手)。   我们提供： 极具竞争力的薪酬结构 （无责底薪+高提成+奖金+优厚员工福利） 五险一金，正常双休 餐补，加班补助，交通补贴8-15天带薪年假 ，带薪病假 丰厚的月度、季度、年度奖金，完善的晋升体系节假日福利，季度团建，年度旅游 完善的培训体系帮助员工和公司共同成长（新员工3-5天带薪集训） 员工免费学习公司课程（行业知识、职业规划、求职面试）   晋升空间: 提供通畅晋升渠道并提前给予晋升后岗位技能培训等！ 北京上海office高速发展，团队潜力和晋升空间巨大！ 你可以从咨询顾问-高级咨询顾问-咨询主管-咨询经理！","上海 -                    杨浦区                                            - 黄兴路2218号合生国际广场办公楼25F01/08                                                            查看地图","UniCareer职优你                                                                        拉勾认证企业","150-500人                规模"
